Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,4822.000000,4878.399902,4777.000000,4821.200195,4821.200195,316687
2021-12-10,4798.000000,4809.700195,4775.500000,4796.600098,4796.600098,173574
2021-12-13,4830.000000,4870.000000,4750.000000,4765.799805,4765.799805,283323
2021-12-14,4764.750000,4840.000000,4714.100098,4814.399902,4814.399902,352396
2021-12-15,4799.899902,4814.250000,4740.000000,4749.450195,4749.450195,410084
2021-12-16,4801.000000,4815.149902,4726.149902,4742.100098,4742.100098,243570
2021-12-17,4771.000000,4791.250000,4672.149902,4697.799805,4697.799805,454824
2021-12-20,4669.000000,4690.000000,4552.250000,4618.950195,4618.950195,310441
2021-12-21,4612.500000,4677.000000,4571.049805,4587.399902,4587.399902,312536
2021-12-22,4627.950195,4695.500000,4587.399902,4655.850098,4655.850098,338380
2021-12-23,4711.250000,4711.250000,4631.399902,4647.899902,4647.899902,204211
2021-12-24,4674.000000,4674.000000,4615.000000,4628.899902,4628.899902,122078
2021-12-27,4599.000000,4680.000000,4555.250000,4668.649902,4668.649902,294366
2021-12-28,4680.000000,4760.950195,4645.000000,4721.950195,4721.950195,320963
2021-12-29,4739.000000,4748.700195,4675.000000,4683.950195,4683.950195,176720
2021-12-30,4677.500000,4699.000000,4625.000000,4639.350098,4639.350098,195753
2021-12-31,4641.000000,4692.750000,4636.000000,4671.450195,4671.450195,172788
2022-01-03,4770.000000,4799.000000,4701.200195,4711.500000,4711.500000,534384
2022-01-04,4758.899902,4758.899902,4685.000000,4726.950195,4726.950195,242287
2022-01-05,4725.000000,4725.000000,4646.000000,4687.399902,4687.399902,287948
2022-01-06,4669.100098,4716.000000,4642.649902,4705.649902,4705.649902,361505
2022-01-07,4715.000000,4748.000000,4696.149902,4731.350098,4731.350098,301517
2022-01-10,4784.899902,4784.899902,4620.000000,4633.549805,4633.549805,1037618
2022-01-11,4649.000000,4654.899902,4499.000000,4504.899902,4504.899902,791417
2022-01-12,4500.000000,4500.000000,4165.299805,4276.100098,4276.100098,2521043
2022-01-13,4276.000000,4354.450195,4221.600098,4254.600098,4254.600098,1090010
2022-01-14,4266.000000,4344.450195,4256.149902,4322.700195,4322.700195,896929
2022-01-17,4365.000000,4414.000000,4290.450195,4400.500000,4400.500000,870335
2022-01-18,4425.000000,4500.000000,4381.000000,4441.149902,4441.149902,940894
2022-01-19,4459.000000,4505.000000,4365.000000,4483.399902,4483.399902,579886
2022-01-20,4517.000000,4517.000000,4462.350098,4483.549805,4483.549805,350124
2022-01-21,4410.000000,4435.450195,4281.000000,4299.799805,4299.799805,606584
2022-01-24,4300.000000,4316.899902,3978.000000,4035.300049,4035.300049,1126974
2022-01-25,4025.000000,4120.000000,3881.250000,4095.449951,4095.449951,810518
